"PWS ID","PWS Name","EPA Region","Primacy Agency","PWS Type","Population Served Count","Cities Served","Counties Served","# of Facilities","# of Violations","# of Site Visits","Primary Source","Zip Code","City Name"
"LA1069011","CHEE CHEE BAY WATER SYSTEM","Region 6","Louisiana","Community water system","510","-","Natchitoches Parish","8","9","8","Ground water","71031","GOLDONNA"
"LA1073058","INDIAN VILLAGE WATER SYSTEM","Region 6","Louisiana","Community water system","1,686","-","Ouachita Parish","14","43","25","Ground water","71225","CALHOUN"
"LA2103362","B & B GROCERY & DELI","Region 6","Louisiana","Transient non-community system","50","-","St. Tammany Parish","4","5","5","Ground water","70460","SLIDELL"
"LA1061029","LINCOLN PARISH WATERWORKS DISTRICT #2","Region 6","Louisiana","Community water system","915","-","Lincoln Parish","2","2","5","Ground water purchased","71273","RUSTON"
"LA2103460","HYUNDIA OF SLIDELL","Region 6","Louisiana","Transient non-community system","100","-","St. Tammany Parish","4","0","5","Ground water","70461","SLIDELL"
"LA1101010","ST MARY WATER & SEWER COMM #3","Region 6","Louisiana","Community water system","7,500","-","St. Mary Parish","11","12","36","Surface water","70522","CENTERVILLE"
"LA1037001","TOWN OF CLINTON","Region 6","Louisiana","Community water system","2,541","-","East Feliciana Parish","9","26","20","Ground water","70730","ETHEL"
"LA1037004","EAST FELICIANA RURAL GURLEY RD WS","Region 6","Louisiana","Community water system","3,462","-","East Feliciana Parish","32","15","18","Ground water","70730","ETHEL"
"LA1037011","EAST FELICIANA RURAL-REEVES-MORGAN","Region 6","Louisiana","Community water system","582","-","East Feliciana Parish","5","6","12","Ground water","70730","ETHEL"
"LA1037015","EAST FELICIANA RURAL BLUFF CREEK WS","Region 6","Louisiana","Community water system","1,761","-","East Feliciana Parish","9","0","2","Ground water","70730","ETHEL"
"LA1037016","EAST FELICIANA RURAL HWY 964 WS","Region 6","Louisiana","Community water system","1,449","-","East Feliciana Parish","4","1","2","Ground water","70730","ETHEL"
"LA1037017","EAST FELICIANA RURAL PLANK-GROSS BATTLE","Region 6","Louisiana","Community water system","3,240","-","East Feliciana Parish","8","0","2","Ground water","70730","ETHEL"
"LA1037018","EAST FELICIANA RURAL TURNER RD WS","Region 6","Louisiana","Community water system","1,140","-","East Feliciana Parish","6","0","2","Ground water purchased","70730","ETHEL"
"LA1117022","RON SON BEAR","Region 6","Louisiana","Community water system","96","-","Washington Parish","4","29","9","Ground water","70438","FRANKLINTON"
"LA2017033","STONEWALL BEVERAGE COMPANY","Region 6","Louisiana","Transient non-community system","25","-","Caddo Parish","5","0","1","Ground water","71078","STONEWALL"
"LA2105004","SANDERSON FARMS, INC","Region 6","Louisiana","Non-Transient non-community system","690","-","Tangipahoa Parish","4","2","7","Ground water","39441","LAUREL"
