long,lat,group,order,region,subregion,median_violations,median_population,median_facilities,median_visits,epa_region,violations_per_facilities,violations_per_person
-73.4990234375,42.049373626708984,6,1264,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.04065704345703,42.043643951416016,6,1265,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-73.01200866699219,42.043643951416016,6,1266,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.81720733642578,42.03791046142578,6,1267,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.81720733642578,42.0092658996582,6,1268,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.7599105834961,42.003536224365234,6,1269,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.74845123291016,42.03791046142578,6,1270,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.55364227294922,42.03218460083008,6,1271,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.50208282470703,42.03791046142578,6,1272,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.1296615600586,42.03791046142578,6,1273,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.10100555419922,42.03218460083008,6,1274,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.8030776977539,42.03791046142578,6,1275,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.78588104248047,42.0092658996582,6,1276,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.7801513671875,41.72278594970703,6,1277,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.7801513671875,41.642574310302734,6,1278,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.7801513671875,41.60246658325195,6,1279,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.7801513671875,41.459224700927734,6,1280,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.78588104248047,41.430580139160156,6,1281,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.80879974365234,41.430580139160156,6,1282,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.83744812011719,41.41911697387695,6,1283,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.84317779541016,41.40192794799805,6,1284,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.848907470703125,41.390472412109375,6,1285,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.84317779541016,41.344635009765625,6,1286,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-71.9806900024414,41.33317565917969,6,1287,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.00360870361328,41.31598663330078,6,1288,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.04944610595703,41.31025695800781,6,1289,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.08382415771484,41.31598663330078,6,1290,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.10673522949219,41.31598663330078,6,1291,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.123931884765625,41.304527282714844,6,1292,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.14684295654297,41.304527282714844,6,1293,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.169769287109375,41.31598663330078,6,1294,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.19841003417969,41.31598663330078,6,1295,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.20987701416016,41.298797607421875,6,1296,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.23851776123047,41.298797607421875,6,1297,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.27862548828125,41.28160858154297,6,1298,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.301544189453125,41.27587890625,6,1299,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.324462890625,41.28160858154297,6,1300,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.35884094238281,41.32744598388672,6,1301,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.38175201416016,41.31025695800781,6,1302,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.38175201416016,41.298797607421875,6,1303,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.37602996826172,41.28160858154297,6,1304,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.387481689453125,41.27014923095703,6,1305,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.40467834472656,41.258689880371094,6,1306,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.45051574707031,41.27587890625,6,1307,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
-72.479156494140625,41.27014923095703,6,1308,Connecticut,NA,11,33,4,4,1,2.75,0.3333333333333333
